film_id,titre,titre_original,annee,sortie,duree,franchise_id,vote_votants,vote_moyenne
36d4b30b-7af0-4caa-ad83-af17652917ff,Underworld 2 - Evolution,Underworld: Evolution,2006,2006-01-12,,,3818,6.58
4dd8e94a-7e0e-4e5b-ac6c-514df5fa279e,Ghost in the Shell,Ghost in the Shell,2017,2017-03-29,,,7727,6.07
1c8ae8b3-9541-4346-bdb0-76ea15357540,Harry Potter à l'école des sorciers,Harry Potter and the Philosopher's Stone,2001,2001-11-16,,,26163,7.92
76017a1a-cd6e-4c0f-9456-92a7cb257ff8,Harry Potter et la Chambre des secrets,Harry Potter and the Chamber of Secrets,2002,2002-11-13,,,21011,7.70
42e29ed7-a4fd-485b-928f-205543982ecb,Underworld 3 : Le Soulèvement des Lycans,Underworld: Rise of the Lycans,2009,2009-01-22,,,3429,6.51
b2f4f303-b8c4-4de3-b816-30c615f88903,Harry Potter et le Prisonnier d'Azkaban,Harry Potter and the Prisoner of Azkaban,2004,2004-05-31,,,20618,8.02
765dd042-47ff-4d16-a960-8f12c4e8cc91,Harry Potter et la Coupe de feu,Harry Potter and the Goblet of Fire,2005,2005-11-16,,,19846,7.81
165485bf-8a72-47a1-8572-2a6e107f2d0c,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix,2007,2007-07-08,,,18685,7.68
0926d29f-b3bd-45cb-9217-1e9b0e824082,Harry Potter et le Prince de sang-mêlé,Harry Potter and the Half-Blood Prince,2009,2009-07-15,,,18613,7.69
7a636eda-3b61-4a78-bcd2-816415262e8c,Harry Potter et les Reliques de la mort - 1ère partie,Harry Potter and the Deathly Hallows: Part 1,2010,2010-11-17,,,18270,7.76
867296db-a97c-4e9f-9f71-6255214a30e7,Harry Potter et les Reliques de la mort - 2ème partie,Harry Potter and the Deathly Hallows: Part 2,2011,2011-07-12,,,19724,8.10
933aa493-07c9-4aba-8649-53cea38b85b9,Underworld : Blood Wars,Underworld: Blood Wars,2016,2016-11-24,,,3493,5.85
bf536d08-c296-4889-a245-fcdad151ea80,Battle Royale,バトル・ロワイアル,2000,2000-12-16,,,3187,7.28
9d506d13-3af5-45f2-a399-e061b9cf091a,Hunger Games,The Hunger Games,2012,2012-03-12,,,21227,7.21
8597fbf1-194d-4b45-8429-78271a55daec,Le Ruffian,Le Ruffian,1983,1983-01-12,,,50,6.33
b01bdaff-b7bc-4a5c-bf4a-ff3a5872ff3a,Razorback,Razorback,1984,1984-04-19,,,162,5.70
1943cf84-0551-49bd-8465-0a4b3884bd7f,Indomptable Angélique,Indomptable Angélique,1967,1967-01-01,,,97,6.60
33656d1c-fee5-48bb-9885-94c2fc4a940a,Angélique et le Sultan,Angélique et le Sultan,1968,1968-03-13,,,104,6.50
71dea7b6-1ef1-4ee5-8c2e-d9e773a7ab7e,La 7ème Compagnie au clair de lune,La 7ème Compagnie au clair de lune,1977,1977-12-07,,,247,6.70
53b35ad1-307b-4975-ae92-d4a54b4d8cdc,Inspecteur La Bavure,Inspecteur La Bavure,1980,1980-12-03,,,175,6.33
34d494dc-ad69-45af-adde-7f908836b2d3,Snowpiercer : Le Transperceneige,Snowpiercer,2013,2013-08-01,,,9136,6.90
1fed30c1-3678-4ea6-9c58-9e33ee867fc3,La Forêt d'émeraude,The Emerald Forest,1985,1985-06-22,,,208,6.70
be06cf20-84b1-4135-9f2a-f59c52135d1f,Les vécés étaient fermés de l’intérieur,Les vécés étaient fermés de l'intérieur,1976,1976-01-07,,,40,5.20
131faf15-b778-4f4e-9c25-b4f86c30765c,Ali Baba et les Quarante Voleurs,Ali Baba et les Quarante Voleurs,1954,1954-12-24,,,117,6.27
dd088fb8-410c-4f17-88c3-ded1643ef75e,Alita : Battle Angel,Alita: Battle Angel,2019,2019-01-31,,,8707,7.23
8ddaed1e-15b2-4c45-8e54-535ef4f1f649,"Angélique, marquise des anges","Angélique, marquise des anges",1964,1964-12-08,,,159,6.90
410558ed-de0c-410b-85b4-f98f2f4bb6a3,Angélique et le Roy,Angélique et le Roy,1966,1966-01-31,,,121,6.60
e0cc3d9e-40c1-4afa-a578-8bf14db8d60b,On a retrouvé la 7ème compagnie,On a retrouvé la 7ème compagnie,1975,1975-12-10,,,264,7.30
56d8568e-2433-461e-b1f5-429b36070639,Banzaï,Banzaï,1983,1983-03-23,,,174,6.20
b9449302-bfe0-4925-84a7-e142c04a9a46,La Vengeance du serpent à plumes,La Vengeance du serpent à plumes,1984,1984-11-28,,,64,4.60
95ecdd2c-10e4-4d4c-8107-81d77efbe0e1,"Firefox, l'arme absolue",Firefox,1982,1982-06-18,,,510,6.01
10738233-ff96-4b7c-8117-5b26a14028f9,Broken Arrow,Broken Arrow,1996,1996-02-09,,,1404,6.00
09372446-bb6a-4b3d-82f5-95f7e2a958a2,Dracula,,1979,,109,,230,6.35
be73bca6-26f8-4afe-9606-d16d67ee9193,Merveilleuse Angélique,Merveilleuse Angélique,1965,1965-07-07,,,113,6.80
17df6837-18f7-4bfd-8c59-52e4f4572d42,Mais où est donc passée la 7ème compagnie ?,Mais où est donc passée la 7ème compagnie ?,1973,1973-05-24,,,325,7.30
4f500d04-6bd1-4f17-92d3-78c937b88d31,Scout toujours…,Scout toujours…,1985,1985-11-27,,,142,5.70
da11c397-81c3-432b-9cef-50e98cae458c,Dernier train pour Busan,부산행,2016,2016-07-20,,,6978,7.76
02ae61f9-9f24-43bb-bda8-a301775c1fd6,Plus beau que moi tu meurs,Plus beau que moi tu meurs,1982,1982-11-10,,,13,5.50
d75d54fa-ebe9-4339-aa46-420629cfddc6,La Famille Tenenbaum,The Royal Tenenbaums,2001,2001-10-05,,,4332,7.49
31b5ffd3-5d9a-4eb3-a2bd-f784f9056219,28 jours plus tard,28 Days Later,2002,2002-10-31,,,6307,7.21
6075a4f9-bf39-4dd1-aade-d047e5cbdf69,La Balance,La Balance,1982,1982-11-10,,,59,6.31
e7fcfd57-ecf4-47c0-99a7-4d58f884a17b,Le Cinquième Élément,The Fifth Element,1997,1997-05-02,,,10251,7.54
b907a64a-0e09-4e07-b03d-011c7539096a,The Grand Budapest Hotel,The Grand Budapest Hotel,2014,2014-02-26,,,14181,8.05
045b7f61-44fd-4f01-a23e-d984f0fffb7e,Nosferatu - Fantôme de la nuit,,,,107,,753,7.32
cc64300c-8140-44cf-b1dc-b1fb5b4dd4fa,Un vampire à Brooklyn,,,,96,,546,5.05
0e245d7d-4f85-42b0-8810-36e8933d693b,K-19,,,,128,,938,6.51
fc6651a7-fb08-4717-a0d1-00fba5aef294,Le 6e Continent,,,,90,,152,5.63
1dcfc6cd-0879-45e3-9cef-22db27f2d5f2,USS Alabama,,,,115,,1638,7.17
c940d72c-7aec-4baf-a8ef-0cac6536f7a3,À la poursuite d'Octobre Rouge,,,,135,,3057,7.40
93bdf448-89fe-463f-9703-b16b6911989e,Le Grand Bleu,Le Grand Bleu,1988,1988-05-10,,,1367,7.46
005e6bd7-77f2-46d4-be1b-ce91dfecb53c,Lévy et Goliath,Lévy et Goliath,1987,1987-01-27,,,13,5.10
bcf2cfe3-e7b3-4740-a6c1-2d465b58aa62,12 Years a Slave,12 Years a Slave,2013,2013-10-18,,,10851,7.95
9a8c1adf-aed0-4f2c-bdfb-0e5397363884,Les Trois Frères,Les Trois Frères,1995,1995-12-13,,,704,7.00
ed8b2acc-5195-4ed2-a2cc-2444055514bf,Pétrole ! Pétrole !,Pétrole ! Pétrole !,1981,1981-01-01,,,16,4.69
1c876149-e2cf-4344-8f25-b629ab893392,Hercule et Sherlock,Hercule et Sherlock,1996,1996-12-04,,,21,4.07
fed32735-87fe-40eb-bd21-9e37229c34a2,La Vérité si je mens !,La Vérité si je mens !,1997,1997-04-01,,,490,6.32
b59eae62-23d4-4414-bc1e-16f41f874716,On a volé la cuisse de Jupiter,On a volé la cuisse de Jupiter,1980,1980-02-06,,,64,6.20
989da01d-daff-470d-958a-5c6ec757c80f,L'Effrontée,L'Effrontée,1985,1985-12-11,,,110,6.58
43e7d65f-e011-4f70-85ab-6fae0ab7c38a,Police,Police,1985,1985-09-04,,,103,5.90
4fefefb4-ef9c-4772-99c7-a15c064246d2,Camping,Camping,2006,2006-04-26,,,827,5.55
8b8860ff-6b52-42c4-97a0-5bb60cb62f2c,Kamikaze,Kamikaze,1986,1986-12-10,,,18,6.10
52b37a04-c4ae-42cb-8684-52f6c48db1c8,Le Nom de la rose,The Name of the Rose,1986,1986-09-24,,,2819,7.47
400b6264-5395-47ce-a2d8-45dcc79ce13c,Moonraker,Moonraker,1979,1979-06-26,,,1846,6.16
1df93853-0d9f-48ac-aef9-bcd0cdcf7d11,L'Espion qui m'aimait,The Spy Who Loved Me,1977,1977-07-07,,,1847,6.80
fa690cd6-0d51-4408-bbb4-ec6c9e6ba0a6,L'Homme au pistolet d'or,The Man with the Golden Gun,1974,1974-12-01,,,1905,6.45
f104855e-08db-4f65-9e4f-a4c4471829c0,Moonraker,Moonraker,1979,1979-06-26,,,1846,6.16
2a4e5143-e9c8-4d00-82f7-280d21c2721d,P.R.O.F.S.,P.R.O.F.S.,1985,1985-09-18,,,131,6.30
89c4970f-f798-4b33-9edb-fd1fe656ad26,Rien que pour vos yeux,For Your Eyes Only,1981,1981-06-24,,,1731,6.52
72c6d5b9-93e7-4444-afff-af50f8f19b45,James Bond 007 contre Dr. No,Dr. No,1962,1962-10-07,,,3388,7.00
a317842a-81f5-4a44-889c-ca8420cd1804,Octopussy,Octopussy,1983,1983-06-05,,,1840,6.30
be5d75d4-960d-4175-b624-887fb099cab9,Week-end,Week End,1967,1967-12-29,105,,262,7.05
4caba8f4-7923-423f-98dd-4bc47ae77fd2,Neuf mois,Neuf mois,1994,1994-02-02,,,29,5.90
3b53701a-0025-4fc7-86a4-d6f7fedf4565,Coup de torchon,Coup de torchon,1981,1981-11-04,,,172,7.00
6b9260ec-5aad-4b69-bbaf-cc2c2a1b88f3,Fort Saganne,Fort Saganne,1984,1984-05-11,,,53,6.02
3f31e0be-a2bf-4da0-a3ea-1e2176c54efd,Le Pari,Le Pari,1997,1997-10-15,,,427,6.30
853fbb98-6aa0-4f74-b65b-79b49268cfd9,Les 2 papas et la maman,Les 2 papas et la maman,1996,1996-04-24,,,10,2.80
0e082690-fded-4693-a5f7-a5ebd2772ec5,On peut toujours rêver,On peut toujours rêver,1991,1991-02-16,,,17,5.60
3e5af7bb-9204-40e9-944a-1273f7dbe841,L'Union sacrée,L'Union sacrée,1989,1989-03-15,,,59,6.88
4148eb02-b28b-48c9-b86c-3a2b66d161ef,La Maison assassinée,La Maison assassinée,1988,1988-02-01,,,59,6.65
89e17b11-751e-4cae-b8c2-1c182d9ff485,Le Cousin,Le Cousin,1997,1997-12-10,,,54,6.30
a5a4d528-49ea-4301-b889-b77bbb6ad718,Matrix Reloaded,The Matrix Reloaded,2003,2003-05-15,,,10439,7.04
20a92b49-babc-4be5-8d55-85ae081ffc23,Matrix Revolutions,The Matrix Revolutions,2003,2003-11-05,,,9416,6.72
a3780fca-4854-4951-b6a7-323d47fbcf1c,Minority Report,Minority Report,2002,2002-06-20,,,8277,7.35
793b8600-0799-425a-99d2-0cf63ad2f1af,Sixième sens,The Sixth Sense,1999,1999-08-06,,,11092,7.95
980f3f6a-c71d-4364-a53d-ab2527a6de99,A.I. : Intelligence artificielle,A.I. Artificial Intelligence,2001,2001-06-29,,,5860,7.04
8fdec955-e540-4224-8e2a-1ef59b7145c8,Bons baisers de Russie,From Russia with Love,1963,1963-10-10,,,2805,7.08
3e7aa788-2a22-4437-970f-9237add18641,Les Braqueuses,Les Braqueuses,1994,1994-06-22,,,22,4.20
22da835a-e1af-417b-a56c-b66c49117bad,Le Dernier Samouraï,The Last Samurai,2003,2003-12-05,,,6494,7.58
01383a81-fad9-4a6b-9361-7266f486c7c0,L'Africain,L'africain,1983,1983-10-22,,,58,6.30
95601c6b-20bd-445d-bda7-2cbbe5467fde,Pour Sacha,Pour Sacha,1991,1991-04-10,,,29,6.12
