"code","langue","français","ltr"
fra,Français,Français,true
eng,English,Anglais,true
deu,Deutsch,Allemand,true
spa,Español,Espagnol,true
por,Português,Portugais,true
ita,Italiano,Italien,true
nld,Nederlands,Néerlandais,true
swe,Svenska,Suédois,true
dan,Dansk,Danois,true
pol,Polski,Polonais,true
hun,Magyar,Hongrois,true
ces,Čeština,Tchèque,true
hrv,Hrvatski,Croate,true
ron,Română,Roumain,true
bre,Brezhoneg,Breton,true
eus,Euskara,Basque,true
ell,Ελληνικά,Grec,true
rus,Русский,Russe,true
ukr,Українська,Ukrainien,true
bul,Български,Bulgare,true
jpn,日本語,Japonais,true
zho,中文,Chinois,true
kor,한국어,Coréen,true
hye,Հայերեն,Arménien,true
kat,ქართული,Géorgien,true
tur,Türkçe,Turc,true
arb,العربية,Arabe,false
heb,עברית,Hébreu,false
ber,ⵜⴰⵎⴰⵣⵉⵖⵜ,Berbère,true
amh,አማርኛ,Amharique,true
syr,ܣܘܪܝܝܐ,Syriaque,true
hin,हिन्दी,Hindî,true
ben,বাংলা,Bengalî,true
guj,ગુજરાતી,Gujarâtî,true
tam,தமிழ்,Tamoul,true
tha,ภาษาไทย,Thaï,true
vie,Tiếng Việt,Vietnamien,true
bug,ᨅᨔ ᨕᨘᨁᨗ,Bugis,true
mya,မြန်မာစကား,Birman,true
bod,བོད་སྐད་,Tibétain,true
mon,ᠮᠣᠨᠭᠭᠣᠯ ᠬᠡᠯᠡ,Mongol,true
cre,ᓀᐦᐃᔭᐍᐏᐣ,Cri,true
yua,Màaya T''àan,Maya,true
nci,Nāhuatlahtōlli,Nahuatl,true
run,ᚠᚢᚦᚨᚱᚲ,Futhark,true
hpl,R''lyehian,R''lyehien,true
