personne_id,nom,prenom,naissance,deces,nationalite,artiste,popularite
1e8b43c2-94ed-4610-ba42-9e90fdd23259,Morrell,David,1943-04-24,,ca,,0
bbe7935d-8c2c-4364-ae51-820c755fc172,Herry,Sylvette,1950-02-22,,fr,Miou-Miou,11.039
ec70b59b-2b49-4122-97a7-e1598b95500f,Cates,Phoebe Belle,1963-07-16,,us,Phoebe Cates,21.927
a5b4eea4-8970-4943-ad3a-0e01830f489e,Gansbacher,Margit,1940-03-10,,it,Margie Newton,39.845
37f2a816-7dc8-48f7-ad5c-588847c07313,Ross,Ricco,1960-04-16,,us,,8.241
e958e229-9a7d-449f-b7eb-0abbdbe58f95,Reitman,Ivan,1946-10-27,2022-02-12,cz,,23.957
6c521eab-6201-4636-a702-ebaa9ce48f0b,Davis,Andrew,1946-11-21,,us,,9.22
72925ff0-346f-4f14-bb98-28ca29645685,Howard,Ron,1954-03-01,,us,,29.391
ddc1ba58-fb70-4e4c-b076-f251dc6418ee,Spader,James,1960-02-07,,,,38.679
03bfee64-d1f4-4df9-92af-cefb41238336,Ramsey,Anne,1929-09-01,1988-08-11,us,,11.67
d1d7a1a5-bb64-45e2-9595-5c7c8a31df73,Konchalovsky,Andreï,1937-08-20,,ru,,4.817
2755c6f7-551a-4c38-82e4-ea589d347e1b,McTiernan,John,1951-01-08,,us,,10.816
0a943e06-2e38-464b-940b-0fc493200fd5,Henriksen,Lance,1940-05-05,,us,,36.908
9e7fb208-0ecf-4c5c-869c-4298eb9f0a4c,Goldblum,Jeff,1952-10-22,,us,,45.538
2fde32d6-3e8b-48ac-96ba-80056449cbbe,Chamberlain,Richard,1934-03-31,,us,,28.471
9f72b128-e7cb-4ee1-9f4f-801e655b430a,Moranis,Rick,1953-04-18,,ca,,39.501
0644f877-b577-44e4-af03-49d0f199a332,Petersen,Wolfgang,1941-03-14,2022-08-12,de,,21.15
28188765-6046-4c73-9145-e4d860750b5b,Potts,Annie,1952-10-28,,us,,55.111
e98c10cb-0be2-48d9-a5b6-1b8d4387a24a,Bowie,David,1947-01-08,2016-01-10,gb,,35.038
081629e8-d46f-4a52-b54e-75a4eb7d3b11,Gosling,Paula,,,us,,1.425
706ae11c-1c62-4e6b-a864-b1cfb69822a8,Clavier,Christian,1952-05-06,,fr,,7.708
7c24d6f5-5c8a-473c-8945-2467d86e3abc,Stallone,Sage,1976-05-05,2012-07-13,us,,15.225
5b0fe5e7-f6b2-441d-98ff-cbe8676d4bec,Margheriti,Edoardo,1959-02-15,,it,,1.391
5170e231-b8d5-4e45-8205-d38527bccc0b,Hiller,Colette,,,us,,8.348
96b6fde8-7cb4-4b10-a35d-8e5643da45f9,Lhermitte,Thierry,1952-11-24,,fr,,5.884
94761b79-63b5-4ad6-a0b0-5f529c3c6981,Ciriaci,Pierluigi,,,it,,0.6
731f8970-90cc-4173-ab8c-6a0d91453014,Williamson,Fred,1938-03-05,,us,,19.403
89797198-6014-4d49-97e5-3392bbcfcf67,Zemeckis,Robert Lee,1951-05-14,,us,Robert Zemeckis,24.082
314d4062-e9f6-428f-8ac6-51f9f62c4527,Ramis,Harold,1944-11-21,2014-02-24,us,,35.736
3ce1e09e-6cb0-4e8e-a426-75ec15c7e690,Wong,Victor,1927-07-30,2001-09-12,us,,24.39
608481e7-befa-4b88-b701-d9fa9830a329,Kozlowski,Linda,1958-01-07,,us,,10.174
7621214a-3461-4d5f-bf72-6b4aaeb9e849,Golan,Menahem,1929-05-31,2014-08-08,il,,5.178
b4e88855-0164-453b-bcf0-45a7f677c8dd,Turner,Kathleen,1954-06-19,,us,,34.432
4233c003-5019-4f58-a2e3-796ffba6a1d8,Morita,Noriyuki,1932-06-28,2005-11-24,us,Pat Morita,24.072
40a8750c-691d-4cc0-a041-fad822a1a9ca,Dell'Acqua,Ottaviano,1954-03-13,,it,,3.156
e44e8d89-5845-4048-acfd-cee0d7f054a1,Biehn,Michael,1956-07-31,,us,,28.236
39f9cb9a-dd57-4941-85b3-e7fbb5f4655c,Chazel,Marie-Anne,1951-09-19,,fr,,4.988
edffc687-a2d7-464c-9210-21eb3f76363a,Sandweiss,Ellen,1958-12-30,,us,,9.244
c2ead2b6-4e89-422f-9cea-54d4af804efd,Anderson,Melody,1955-12-03,,ca,,25.953
f3c5dd03-43b7-4fd1-b88f-0a844a96a2be,Hogan,Paul,1939-10-08,,au,,12.326
eae4c21d-3ea5-4a8e-8765-dc9364ba26ba,Sarandon,Chris,1942-07-24,,us,,13.787
b2e7842d-cc7a-47d7-8a99-625359b685a7,Stone,Sharon,1958-03-10,,us,,30.585
0aad4cbf-f619-4c1f-8bc4-b64de594ffa6,Jennifer,Beals,1963-12-19,,us,,34.464
a6f4636d-e85f-4a34-8e79-91b0028b8ebb,Hope,William,1955-03-02,,us,,15.871
7f61045e-1fdf-493f-bb9a-ddde285488e8,Ward,Sophy,1964-12-30,,gb,,11.514
baa8c24e-2e87-4077-acb1-c76dadf5099e,Scott,Cynthia Dale,,,ca,,4.736
0e0d6db8-0e7f-403e-a3ba-b07acf25c55c,Flynn,John,1932-03-14,2007-04-04,us,,5.089
c868fa91-5534-4573-9532-bab6d0359d9d,Reiser,Paul,1957-03-30,,us,,13.175
c212ad64-fb4f-4af4-bfb8-c2dc312fe480,Girotti,Mario,1939-03-29,,it,Terence Hill,27.226
10abd4fe-3501-4e66-9404-642affce8f8e,Norris,Chuck,1940-03-10,,us,,39.845
21c2b10a-358e-408b-abd2-5bf391b77927,Weathers,Carl,1948-01-14,2024-02-01,us,,23.997
0530881e-bdb6-4514-8f34-d31eaab93f3c,Capshaw,Kate,1953-11-03,,us,,39.71
26b8f537-0d34-4654-884d-45991b25f862,Cameron,James,1954-08-16,,us,,29.763
594436cf-1f7a-4a96-8f41-53792e1d10df,Crystal,William Edward,1948-03-14,,us,Billy Crystal,28.582
3b9eba88-84f3-40ff-a8d9-63a001ff8f04,Kash,Daniel,1959-04-25,,ca,,8.567
cb8c4859-720b-4ef4-b1fa-278200594540,Lalanne,Alain,,,fr,Alain Musy,2.086
2f9d0443-68a2-4662-b3a9-cd1ff4b36bc2,Paxton,William,1955-05-17,2017-02-25,us,Bill Paxton,36.195
05a69667-f2e5-43ff-ae07-6d236d3598b4,Bridges,Jeffrey Leon,1949-12-04,,us,Jeff Bridges,38.781
46c31ee2-f27f-4049-95d4-e3bf625ec924,Nielsen,Brigitte,1963-07-15,,dk,,27.177
03eaa5ea-ad8e-4342-b2f5-8d26ec0bbe46,Zito,Joseph,1946-05-14,,us,,8.77
38d69333-f86e-4e30-b3f8-04e349ade801,Fleischer,Richard,1916-12-08,2006-03-25,us,,4.826
8c077f12-c8cc-4902-9797-17e29fb22bd8,Baker,Betsy,1955-05-08,,us,,19.739
1879fdcb-078f-4bc3-adba-0fc4e0f16db6,Shire,Talia,1946-04-25,,us,,30.319
21c64182-ad5d-4207-adf5-6df21d1b7bc4,Willis,Bruce,1955-03-19,,,,58.639
1daf693b-6969-4269-a9e7-16b8f4933ffe,Bourguignon,Anne,1950-08-09,2019-04-30,fr,Anémone,8.302
b7770571-dac0-4ce4-a95a-25c37342d642,James,Steve,1952-02-19,1993-12-18,us,,10.155
49242460-8b4a-4e1c-b3a4-603c9bf705c7,Rolston,Mark,1956-12-07,,us,,24.429
